Dealer ID,Dealer Name,Lead Tier,Business Status,Identity Event,DBA,State,City,Address,Zip Code,Dealer Phone,Recommended Action,Status Summary,Needs Review,Review Reason,Website Domain,Website Live,Operating Status,Current Banner Name,Confidence,Primary Contact Name,Primary Contact Title,Primary Phone Type,Primary Contact Phone,Primary Email Tier,Primary Contact Email,Primary Contact Source,Contact 2 Name,Contact 2 Title,Contact 2 Phone,Contact 2 Email,Contact 2 Source,Contact 3 Name,Contact 3 Title,Contact 3 Phone,Contact 3 Email,Contact 3 Source,Reference URLs
NCA142,Pebble Mobility Inc - NCA142,b_list,active,none,Pebble Mobility Inc.,CA,Fremont,2800 Bayview Drive,94588,(765) 277-9423,Call main store line ((765) 277-9423) and ask for Bingrui Yang (Founder & CEO). Account inactive for 130 days.,"Pebble is operating its Fremont headquarters and manufacturing facility, and the site says it is open daily.",No,,pebblelife.com,Yes,open,Pebble Mobility Inc,high,Bingrui Yang,Founder & CEO,store_switchboard,(765) 277-9423,verified_personal (hunter_validated),bingrui@pebblelife.com,Website Staff Page,Chi Miller,CFO,,,Website Staff Page,Matt Farrell,Head of Service & Retail Development,,,LinkedIn,https://pebblelife.com/ ; https://pebblelife.com/team ; https://pebblelife.com/post/pebble-announces-the-opening-of-new-hq-and-manufacturing-facility-dedicated-to-production-of-the-pebble-flow
IN136,"Country Classics, Inc.",b_list,active,none,"Country Classics, Inc.",IN,Albany,940 West Walnut,47320,(765) 789-6498,Call main store line ((765) 789-6498) and ask for Scott Van Cleef (Owner). Account inactive for 426 days.,"The dealership is operating as a locally owned and operated boat sales and service business in Albany, Indiana.",No,,countryclassicsmarine.com,Yes,open,Country Classics Marine,high,Scott Van Cleef,Owner,store_switchboard,(765) 789-6498,verified_store_switchboard,info@countryclassicsmarine.com,LinkedIn,,,,,,,,,,,https://www.countryclassicsmarine.com/ ; https://www.linkedin.com/company/country-classics-marine ; https://www.countryclassicsmarine.com/about/ ; https://www.linkedin.com/company/country-classics
IN201,Integrity RV LLC,b_list,active,none,Integrity RV LLC,IN,Andrews,136 N Snowden St,46702,(260) 200-8156,Call main store line ((260) 200-8156) and ask for Tony Alfrey Jr (Representative). Account inactive for 179 days.,"The dealership website is live and lists current business hours, contact details, and the Andrews address.",No,,integrityrv.org,Yes,open,Integrity RV,high,Tony Alfrey Jr,Representative,store_switchboard,(260) 200-8156,verified_store_switchboard,integrityrvservice@gmail.com,CRM,,,,,,,,,,,https://integrityrv.org/ ; https://www.linkedin.com/company/integrity-rv ; https://integrityrv.org/blank
IN147,Ben Davis RV,b_list,active,none,Ben Davis RV,IN,Auburn,801 West 7th Street,46706,(260) 925-3715,Call main store line ((260) 925-3715) and ask for Arturo Mugica (Sales & Finance Manager). Account inactive for 456 days.,The dealership’s website is live and describes Ben Davis RV as a trusted RV dealer serving Auburn.,No,,bendavisrv.com,Yes,open,Ben Davis RV,high,Arturo Mugica,Sales & Finance Manager,store_switchboard,(260) 925-3715,verified_store_switchboard,rvsales@bendavisrv.net,Web Search,Brent Davis,Owner / Dealer Principal,,,Website Staff Page,Austin Sims,General Sales Manager,,,CRM,https://www.bendavisrv.com/ ; https://www.bendavischevrolet.com/dealership/staff.htm ; https://www.linkedin.com/company/ben-davis-rv ; https://www.bendavisrv.com/about-us/ ; https://www.bendavischevrolet.com/dealership/staff.htm & SourceOne CRM
IN198,Hoosier Hills Marina,glengarry,active,none,Hoosier Hills Marina,IN,Celestine,10306 E Lick Fork Marina,47521,(812) 678-3313,Email Victor Polen (Owner/Manager) at victor@hoosierhillsmarina.com. Use store switchboard ((812) 678-3313) for phone follow-up. Account inactive for 162 days.,The dealership’s website states current hours and invites customers to call for appointments to check out inventory o...,No,,hoosierhillsmarina.com,Yes,open,Hoosier Hills Marina,high,Victor Polen,Owner/Manager,store_switchboard,(812) 678-3313,verified_personal,victor@hoosierhillsmarina.com,BBB,Rebecca Masters,Co-Owner,,,BBB,Jeff Dukes,Owner,,,LinkedIn,https://hoosierhillsmarina.com/ ; https://www.bbb.org/us/in/celestine/profile/marina/hoosier-hills-marina-0482-90004176 ; https://www.linkedin.com/company/hoosier-hills-marina ; https://hoosierhillsmarina.com/about-hoosier-hills-marina-lake-vacations/ ; https://www.bbb.org/us/in/celestine/profile/marina/hoosier-hills-marina-0482-90004176 & SourceOne CRM
IN211,"62 Sales, LLC",glengarry,active,none,62 Sales LLC,IN,Charlestown,7402 Westbrook Drive,47111,(812) 720-3810,Connect with Seth Stewart (Owner) via direct phone ((502) 550-6518) or email (seth@62sales.com). Account inactive for 459 days.,"The dealership's website is live and describes active RV sales, rentals, parts, and service.",No,,62sales.com,Yes,open,62 Sales,medium,Seth Stewart,Owner,direct_mobile,(502) 550-6518,verified_personal,seth@62sales.com,CRM,,,,,,,,,,,https://62sales.com/ ; https://62sales.com/contact/ ; https://62sales.com/wp-content/uploads/2025/09/REVISED-Listing-Doc-1.pdf ; https://www.yelp.com/biz/62sales-charlestown ; https://62sales.com/wp-content/uploads/2025/09/REVISED-Listing-Doc-1.pdf & SourceOne CRM
IN176,"Culvers Portside Marina, Inc.",b_list,active,none,"Culvers Portside Marina, Inc.",IN,Culver,514 West Mill Street,46511,(574) 842-5000,Call main store line ((574) 842-5000) and ask for Freddie Furlano (Finance Manager). Account inactive for 155 days.,"The dealership’s website is live and describes the business as a full-service marina with sales, service, and storage.",No,,culversportsidemarina.com,Yes,open,Culver's Portside Marina,high,Freddie Furlano,Finance Manager,store_switchboard,(574) 842-5000,verified_store_switchboard,fredf@culversportsidemarina.com,LinkedIn,Glenn Bailey,Owner,,,Website Staff Page,Dawn Bailey,Owner,,,Website Staff Page,https://www.culversportsidemarina.com/ ; https://www.culversportsidemarina.com/staff ; https://www.yelp.com/biz/culvers-portside-marina-culver ; https://www.culversportsidemarina.com/aboutus
IN184,RC SALES and  LEASING,glengarry,active,rebranded,"RC LEASING OF ELKHART, INC.",IN,Elkhart,23247 US 33,46517,(574) 875-8201,Email Randy Chupp (Owner) at rcchupp@yahoo.com. Use store switchboard ((574) 875-8201) for phone follow-up.,"The business is currently operating as RC Leasing of Elkhart at the same general location in Elkhart, with its own active website and service pages. Live listings still associate RC Sales & Leasing with the site and phone number, indicating the business remains open but has rebranded rather than closed or relocated.",No,,rcsalesandleasing.net,Yes,open,RC Leasing of Elkhart,medium,Randy Chupp,Owner,store_switchboard,(574) 875-8201,verified_personal,rcchupp@yahoo.com,BBB,,,,,,,,,,,https://www.rcsalesandleasing.net/ ; https://www.rcsalesandleasing.net/about-us ; https://www.kbb.com/dealers/elkhart-in/568160/rc-sales-leasing/ ; https://www.bbb.org/us/in/elkhart/profile/auto-renting-and-leasing/r-c-leasing-inc-0352-10018379 & SourceOne CRM
IN158,"The RV Factory, LLC",glengarry,active,none,"The RV Factory, LLC",IN,Elkhart,2503 Marina Drive,46514,(574) 848-2729,Email Julie Gifford (Representative) at jgifford@thervfactory.com. Use store switchboard ((574) 848-2729) for phone follow-up. Account inactive for 199 days.,The dealership website is live and lists business hours and services.,No,,thervfactory.com,Yes,open,The RV Factory,high,Julie Gifford,Representative,store_switchboard,(574) 848-2729,verified_personal,jgifford@thervfactory.com,CRM,Brian Shea,Owner,,,LinkedIn,Mary Pouliot,President,,,Web Search,https://thervfactory.com/ ; https://www.bbb.org/us/in/elkhart/profile/camper-dealers/the-rv-factory-0352-90096003 ; https://www.bbb.org/us/in/elkhart/profile/camper-dealers/the-rv-factory-0352-90096003/addressId/97629 ; https://www.yelp.com/biz/the-rv-factory-elkhart-2 ; https://thervfactory.com/~thervf5/about-toy-hauler-fifth-wheel-manufacturer
IN124,"Brownies Marine Sales, Inc.",glengarry,active,none,"Brownies Marine Sales, Inc.",IN,Fairland,3810 W Parrish Avenue,46126,(317) 835-2291,Email Margaret Massey (Vice President) at margaret@browniesmarine.net. Use store switchboard ((317) 835-2291) for phone follow-up. Account inactive for 172 days.,"Current web results show the business actively operating as Brownie's Marine at 2544 W 400 N, Fairland, IN 46126, with an active website, current hours, and the phone number (317) 835-2291. There is no current evidence that it is closed or permanently out of business; the earlier searched address 3810 W Parrish Avenue does not match the active listing.",No,,browniesmarine.net,Yes,open,Brownie's Marine,high,Margaret Massey,Vice President,store_switchboard,(317) 835-2291,verified_personal,margaret@browniesmarine.net,BBB,Ashley Massey,Representative,,ashley@browniesmarine.net,CRM,James Massey,President,,,BBB,https://browniesmarine.net ; https://www.bbb.org/us/in/fairland/profile/boat-dealers/brownies-marine-sales-inc-0382-14001339/addressId/14387 ; https://www.linkedin.com/company/brownies-marine-sales ; https://www.browniesmarine.net/aboutus ; https://www.bbb.org/us/in/fairland/profile/boat-dealers/brownies-marine-sales-inc-0382-14001339/addressId/14387 & SourceOne CRM
