Dealer ID,Dealer Name,Lead Tier,Business Status,Identity Event,DBA,State,City,Address,Zip Code,Dealer Phone,Recommended Action,Status Summary,Needs Review,Review Reason,Website Domain,Website Live,Operating Status,Current Banner Name,Confidence,Primary Contact Name,Primary Contact Title,Primary Phone Type,Primary Contact Phone,Primary Email Tier,Primary Contact Email,Primary Contact Source,Contact 2 Name,Contact 2 Title,Contact 2 Phone,Contact 2 Email,Contact 2 Source,Contact 3 Name,Contact 3 Title,Contact 3 Phone,Contact 3 Email,Contact 3 Source,Reference URLs
CA106,KARV,b_list,active,none,KARV,CA,Desert Hot Springs,16972 PALM DRIVE,92240,(760) 422-5150,Call main store line ((760) 422-5150) and ask for Robert Pantanella (Finance Manager). Account inactive for 334 days.,"The dealership’s website is live and showing current inventory pages for Desert Hot Springs, CA.",No,,gokarv.com,Yes,open,KA RV,high,Robert Pantanella,Finance Manager,store_switchboard,,verified_store_switchboard,,LinkedIn,John Pine,General Manager,,,LinkedIn,Brandon Akulian,CEO,,,BBB,https://www.gokarv.com/ ; https://www.yelp.com/biz/karv-desert-hot-springs-2 ; https://www.bbb.org/us/ca/desert-hot-springs/profile/rv-dealers/karv-1126-850060989 ; https://www.gokarv.com/product/used-1995-winnebago-rialta-221rd-2548834-13
NCA123,HAPPY DAZE RV - GILROY - NCA123,glengarry,active,none,HAPPY DAZE RV - GILROY,CA,Gilroy,6290 MONTEREY HIGHWAY,95020,(408) 842-2221,Email Joeann Vaughn (Representative) at jvaughn@happydazerv.com. Use store switchboard ((408) 842-2221) for phone follow-up. Account inactive for 387 days.,"The Gilroy dealership is operating at 6290 Monterey Rd, Gilroy, CA 95020 with sales and service hours listed.",No,,happydazerv.com,Yes,open,Happy Daze RV,high,Joeann Vaughn,Representative,store_switchboard,,verified_personal,jvaughn@happydazerv.com,CRM,Derek Sweazy,General Sales Manager,,,Web Search,Amy Salinas,Parts & Service Manager,,,LinkedIn,https://www.happydazerv.com/ ; https://www.yelp.com/biz/happy-daze-rv-gilroy-gilroy ; https://www.happydazerv.com/blog/your-gilroy-rv-dealer/ ; https://www.yelp.com/biz/happy-daze-rvs-service-and-collision-center-gilroy
NCA102,AUBURN OUTBOARD MARINE - NCA102,b_list,active,none,AUBURN OUTBOARD MARINE,CA,Loomis,3320 BOYINGTON ROAD,95650,(916) 652-1660,Email Mike Engbrecht (Representative) at mike@auburnoutboardmarine.com. Use store switchboard ((916) 652-1660) for phone follow-up. Account inactive for 316 days.,"The dealership’s website is live and identifies the business as Auburn Outboard Marine in Loomis, CA, at 3320 Boyingt...",No,,auburnoutboardmarine.com,Yes,open,Auburn Outboard Marine,medium,Mike Engbrecht,Representative,store_switchboard,,verified_personal,mike@auburnoutboardmarine.com,CRM,Maria Engbrecht,Finance Manager,,,Web Search,Liz Walker,Representative,,,CRM,https://auburnoutboardmarine.com ; https://www.yelp.com/biz/auburn-outboard-marine-loomis-2 ; https://www.auburnoutboardmarine.com/New-Inventory-2024-Bentley-Pontoons-Boat-Legacy-223-Swingback-3-4-Tube-Auburn-Outboard-Marine-16132011 ; https://www.auburnoutboardmarine.com/--inventory?subcategory=fishing ; https://www.auburnoutboardmarine.com/ & SourceOne CRM
SCA135,Galaxy Campers Inc - SCA135,b_list,active,none,Galaxy Campers Inc,CA,Ontario,1033 W Holt Blvd,91762,(909) 988-4744,Call main store line ((909) 988-4744) and ask for David Yavelak (Owner). Account inactive for 136 days.,"The dealership is currently listed as open and operating at 1033 W Holt Blvd, Ontario, CA 91762.",No,,galaxycampers.com,Yes,open,Galaxy Campers,medium,David Yavelak,Owner,store_switchboard,,verified_store_switchboard,,CRM,Miguel Baeza,Sales Manager,,,LinkedIn,,,,,,https://galaxycampers.com ; https://www.yelp.com/biz/galaxy-campers-ontario ; https://www.linkedin.com/company/galaxy-campers ; https://www.rvtrader.com/rv-dealers/detail/Galaxy+Campers-2842838 ; https://www.yelp.com/biz/galaxy-campers-ontario & SourceOne CRM
NCA129,HARRISON'S MARINE & RV - NCA129,glengarry,active,none,HARRISON'S MARINE & RV,CA,Redding,2330 TWIN VIEW BLVD,96003,(530) 243-0175,Email Rodney Dole (Owner/President) at doleboat@icloud.com. Use store switchboard ((530) 243-0175) for phone follow-up. Account inactive for 710 days.,"The dealership is presenting itself as an active boat and RV seller with service and parts offerings in Redding, CA.",No,,harrisonsmarine.com,Yes,open,Harrison's Marine & RV,medium,Rodney Dole,Owner/President,store_switchboard,,verified_personal,doleboat@icloud.com,BBB,Steve Rodriguez,Manager,,steve@harrisonsmarine.com,BBB,Andy Wardinski,Sales,,,LinkedIn,https://www.harrisonsmarine.com/ ; https://www.yelp.com/biz/harrisons-marine-and-rv-redding-2 ; https://www.bbb.org/us/ca/redding/profile/marine-sales-and-service/harrisons-marine-rv-1156-47019711 ; https://www.harrisonsmarine.com/about-us-boats-rvs-dealership--info ; https://www.bbb.org/us/ca/redding/profile/marine-sales-and-service/harrisons-marine-rv-1156-47019711 & SourceOne CRM
NCA111,HAPPY DAZE RV - NCA111,glengarry,active,none,HAPPY DAZE RV,CA,Sacramento,1199 EL CAMINO AVENUE,95815,(916) 921-2222,Email Rj Lemke (General Manager) at rlemke@happydazerv.com. Use store switchboard ((916) 921-2222) for phone follow-up. Account inactive for 261 days.,"The Sacramento dealership is currently listed with sales, service, and inventory at 1199 El Camino Avenue, Sacramento...",No,,happydazerv.com,Yes,open,Happy Daze RV's,high,Rj Lemke,General Manager,store_switchboard,,verified_personal,rlemke@happydazerv.com,BBB,Sam Slaughter,Representative,,sslaughter@happydazerv.com,CRM,Jerry Christine,Finance Manager,,,LinkedIn,https://www.happydazerv.com/ ; https://www.linkedin.com/company/happy-daze-rv's ; https://www.happydazerv.com/50-years ; https://www.bbb.org/us/ca/sacramento/profile/rv-dealers/happy-daze-rvs-1156-12000246 ; https://www.happydazerv.com/blog/category/rv-employees/
SCA107,M20 MARINE OUTFITTERS - SCA107,glengarry,active,none,M2O MARINE OUTFITTERS,CA,San Diego,3645 CAMINO DEL RIO SOUTH,92108,(619) 282-0400,Email Allen Jones (Finance) at allen@m2omarine.com. Use store switchboard ((619) 282-0400) for phone follow-up. Account inactive for 1032 days.,The dealership is operating with posted business hours and is listed as open now at the San Diego location.,No,,m2omarine.com,Yes,open,M2O Marine Outfitters,high,Allen Jones,Finance,store_switchboard,,verified_personal,allen@m2omarine.com,CRM,Ian Morton,Owner,,,LinkedIn,Neal Manion,President,,,BBB,https://m2omarine.com ; https://www.bbb.org/us/ca/san-diego/profile/boat-dealers/m2o-marine-outfitters-1126-171999693 ; https://slipstreamboating.com/boat-dealers/ca/san-diego/m2o-marine-outfitters/ ; https://www.m2omarine.com/ & SourceOne CRM
CA101,Motorhomes Of California,b_list,active,none,Motorhomes Of California,CA,Santa Ana,1415 N Harbor Blvd,92703,(714) 435-0071,Call main store line ((714) 435-0071) and ask for Chad Ware (Owner). Account inactive for 676 days.,The dealership’s website is live and describes Motorhomes of California as an RV dealership serving Southern California.,No,,motorhomesofcalifornia.com,Yes,open,Motorhomes of California,high,Chad Ware,Owner,store_switchboard,,verified_store_switchboard,,Web Search,Jason Ware,Representative,,,CRM,,,,,,https://www.motorhomesofcalifornia.com/ ; https://www.bbb.org/us/ca/santa-ana/profile/motor-homes/motorhomes-of-california-1126-1000062041/addressId/380542 ; https://www.motorhomesofcalifornia.com/about-us ; https://www.yelp.com/biz/motorhomes-of-california-santa-ana-2
SCA139,El Monte Rents - Santa Fe Springs - SCA139,glengarry,active,none,El Monte Rents - Santa Fe Springs,CA,Santa Fe Springs,12818 Firestone Blvd,90670,(562) 404-9300,Email Darylin Fragoso (Finance Manager) at darylin.fragoso@elmonterv.com. Use store switchboard ((562) 404-9300) for phone follow-up. Account inactive for 556 days.,"The Santa Fe Springs location is listed on the company website as a sales location with business hours, indicating ac...",No,,elmonterv.com,Yes,open,El Monte RV Sales / El Monte RV Rentals,high,Darylin Fragoso,Finance Manager,store_switchboard,,verified_personal,darylin.fragoso@elmonterv.com,CRM,Ammar Alghafari,General Manager,,,LinkedIn,Kyle Ferguson,Representative,,,CRM,https://www.elmonterv.com/ ; https://www.linkedin.com/company/el-monte-rv ; https://www.elmonterv.com/contact-us ; https://www.elmonterv.com/ & SourceOne CRM
NCA113,SANTA ROSA RV SALES - NCA113,b_list,active,none,A & B RV SALES INC. DBA SANTA ROSA RV SALES,CA,Santa Rosa,4241 SANTA ROSA AVENUE,95407,(707) 569-7000,Call main store line ((707) 569-7000) and ask for Razi Hyder (General Manager). Account inactive for 201 days.,The dealership is actively advertising RV sales and service on its own website.,No,,santarosarvsales.com,Yes,open,Santa Rosa RV Sales,high,Razi Hyder,General Manager,store_switchboard,,verified_store_switchboard,,BBB,Susan Hyder,Controller,,,BBB,,,,,,https://www.santarosarvsales.com/ ; https://www.bbb.org/us/ca/santa-rosa/profile/rv-equipment/ab-rv-sales-inc-1116-17951 ; https://www.yelp.com/biz/santa-rosa-rv-sales-santa-rosa ; https://www.santarosarvsales.com/read-other-customers-comments--xtestimonials
